"","CASEID","NEWRACE2","IRSEX","CATAG6","MJEVER"
"14215",14215,1,1,1,2
"14216",14216,1,1,6,1
"14217",14217,6,2,2,1
"14218",14218,1,2,2,1
"14219",14219,1,2,1,2
"14220",14220,1,1,1,1
"14221",14221,2,2,4,2
"14222",14222,7,2,1,1
"14223",14223,2,2,2,2
"14224",14224,1,2,1,2
"14225",14225,1,1,1,2
"14226",14226,1,2,4,1
"14227",14227,4,2,5,2
"14228",14228,1,2,1,1
"14229",14229,1,1,6,2
"14230",14230,7,1,2,2
"14231",14231,1,2,2,2
"14232",14232,7,2,1,2
"14233",14233,1,1,3,1
"14234",14234,3,2,4,1
"14235",14235,1,2,6,2
"14236",14236,1,1,5,2
"14237",14237,2,2,1,2
"14238",14238,2,2,2,1
"14239",14239,1,1,4,1
"14240",14240,1,1,5,1
"14241",14241,7,1,2,2
"14242",14242,1,2,5,1
"14243",14243,6,2,3,1
"14244",14244,1,2,6,2
"14245",14245,1,2,4,2
"14246",14246,1,2,2,1
"14247",14247,1,2,3,1
"14248",14248,1,1,2,2
"14249",14249,1,2,1,2
"14250",14250,1,2,1,2
"14251",14251,5,2,6,2
"14252",14252,7,2,2,2
"14253",14253,7,1,1,2
"14254",14254,2,2,6,2
"14255",14255,1,2,5,1
"14256",14256,1,1,5,1
"14257",14257,7,2,4,2
"14258",14258,1,2,1,2
"14259",14259,1,2,4,2
"14260",14260,2,1,3,1
"14261",14261,2,1,1,2
"14262",14262,1,1,1,2
"14263",14263,1,2,5,1
"14264",14264,1,2,2,1
"14265",14265,7,2,4,2
"14266",14266,7,2,5,2
"14267",14267,1,1,1,2
"14268",14268,1,2,4,2
"14269",14269,7,2,2,1
"14270",14270,5,2,4,2
"14271",14271,7,1,1,2
"14272",14272,1,2,3,1
"14273",14273,1,1,1,2
"14274",14274,1,1,6,1
"14275",14275,1,1,1,2
"14276",14276,7,2,2,2
"14277",14277,1,2,4,1
"14278",14278,1,2,6,2
"14279",14279,2,2,2,2
"14280",14280,1,1,4,1
"14281",14281,2,2,6,2
"14282",14282,1,1,3,2
"14283",14283,1,1,3,1
"14284",14284,7,1,3,1
"14285",14285,2,2,4,2
"14286",14286,7,1,2,1
"14287",14287,1,1,2,1
"14288",14288,1,2,5,2
"14289",14289,1,1,2,1
"14290",14290,5,1,3,2
"14291",14291,7,2,1,2
"14292",14292,1,1,1,1
"14293",14293,1,2,6,1
"14294",14294,1,1,5,2
"14295",14295,1,1,4,2
"14296",14296,7,1,2,1
"14297",14297,3,2,5,1
"14298",14298,1,2,3,1
"14299",14299,6,2,2,2
"14300",14300,7,1,4,2
"14301",14301,7,1,1,2
"14302",14302,1,1,2,1
"14303",14303,1,1,2,2
"14304",14304,1,1,6,1
"14305",14305,1,1,1,2
"14306",14306,2,2,2,2
"14307",14307,1,2,6,2
"14308",14308,1,1,4,1
"14309",14309,7,1,2,1
"14310",14310,1,2,1,2
"14311",14311,1,2,2,1
"14312",14312,1,1,4,2
"14313",14313,1,1,2,2
"14314",14314,1,2,2,2
"14315",14315,1,2,4,1
"14316",14316,1,1,2,1
"14317",14317,2,2,3,1
"14318",14318,3,1,1,1
"14319",14319,7,1,3,1
"14320",14320,7,2,3,2
"14321",14321,7,1,1,2
"14322",14322,1,2,3,2
"14323",14323,1,1,4,1
"14324",14324,7,1,1,2
"14325",14325,1,2,5,2
"14326",14326,1,1,5,2
"14327",14327,1,2,6,2
"14328",14328,1,1,1,1
"14329",14329,2,1,2,1
"14330",14330,1,1,5,1
"14331",14331,2,1,4,1
"14332",14332,2,1,1,2
"14333",14333,5,2,4,2
"14334",14334,2,1,5,2
"14335",14335,2,1,1,2
"14336",14336,2,2,4,2
"14337",14337,1,1,2,1
"14338",14338,1,1,4,2
"14339",14339,1,2,2,1
"14340",14340,1,1,1,1
"14341",14341,1,2,1,2
"14342",14342,1,2,2,2
"14343",14343,1,2,5,1
"14344",14344,1,2,6,2
"14345",14345,2,2,4,2
"14346",14346,7,1,1,2
"14347",14347,5,2,1,2
"14348",14348,1,2,3,2
"14349",14349,1,2,2,1
"14350",14350,2,1,1,2
"14351",14351,1,2,2,2
"14352",14352,1,2,2,2
"14353",14353,1,2,3,2
"14354",14354,7,2,1,2
"14355",14355,2,1,1,2
"14356",14356,1,2,2,2
"14357",14357,2,2,4,1
"14358",14358,7,1,4,1
"14359",14359,2,2,1,2
"14360",14360,1,2,1,2
"14361",14361,1,2,3,1
"14362",14362,1,1,1,2
"14363",14363,1,1,1,2
"14364",14364,1,2,1,2
"14365",14365,7,1,2,1
"14366",14366,7,2,3,2
"14367",14367,1,2,4,1
"14368",14368,1,1,2,1
"14369",14369,1,2,4,2
"14370",14370,1,2,4,1
"14371",14371,1,1,3,2
"14372",14372,6,2,4,1
"14373",14373,7,1,1,2
"14374",14374,1,1,1,2
"14375",14375,7,2,1,2
"14376",14376,7,1,1,2
"14377",14377,1,1,4,2
"14378",14378,1,1,4,2
"14379",14379,1,1,4,2
"14380",14380,1,2,2,1
"14381",14381,1,2,1,2
"14382",14382,1,1,2,2
"14383",14383,1,1,6,2
"14384",14384,6,1,1,2
"14385",14385,1,2,6,1
"14386",14386,1,1,3,2
"14387",14387,1,1,1,2
"14388",14388,1,2,2,2
"14389",14389,1,2,2,1
"14390",14390,1,2,4,2
"14391",14391,1,1,3,2
"14392",14392,1,2,5,1
"14393",14393,1,1,3,1
"14394",14394,7,2,1,2
"14395",14395,7,1,1,1
"14396",14396,5,2,2,2
"14397",14397,6,1,3,2
"14398",14398,1,2,1,2
"14399",14399,1,2,2,1
"14400",14400,1,1,1,2
"14401",14401,1,1,6,2
"14402",14402,1,2,1,1
"14403",14403,1,2,3,1
"14404",14404,1,2,5,2
"14405",14405,1,1,2,1
"14406",14406,1,2,1,2
"14407",14407,1,2,1,2
"14408",14408,5,2,1,2
"14409",14409,2,2,2,2
"14410",14410,1,2,4,2
"14411",14411,7,1,1,2
"14412",14412,1,2,5,1
"14413",14413,1,2,3,2
"14414",14414,1,1,1,2
"14415",14415,1,2,4,2
"14416",14416,1,2,2,2
"14417",14417,5,2,6,2
"14418",14418,1,2,1,2
"14419",14419,1,1,2,1
"14420",14420,7,1,3,2
"14421",14421,1,1,1,2
"14422",14422,7,2,2,1
"14423",14423,7,1,4,2
"14424",14424,1,2,3,1
"14425",14425,1,2,6,1
"14426",14426,1,1,2,1
"14427",14427,1,1,2,2
"14428",14428,1,1,6,2
"14429",14429,7,2,2,2
"14430",14430,7,2,2,1
"14431",14431,1,2,4,2
"14432",14432,1,2,5,2
"14433",14433,1,1,4,2
"14434",14434,1,2,1,2
"14435",14435,5,1,4,2
"14436",14436,1,2,5,2
"14437",14437,1,1,5,1
"14438",14438,1,2,6,2
"14439",14439,1,1,1,2
"14440",14440,7,1,2,1
"14441",14441,5,1,5,2
"14442",14442,1,2,4,1
"14443",14443,1,2,5,1
"14444",14444,6,1,1,1
"14445",14445,3,1,3,1
"14446",14446,1,1,4,1
"14447",14447,1,1,1,2
"14448",14448,1,2,4,2
"14449",14449,7,1,1,2
"14450",14450,1,2,4,2
"14451",14451,1,1,1,2
"14452",14452,1,1,5,1
"14453",14453,1,1,2,2
"14454",14454,1,2,1,2
"14455",14455,1,2,2,2
"14456",14456,1,1,6,1
"14457",14457,2,2,2,2
"14458",14458,1,2,2,2
"14459",14459,5,2,2,2
"14460",14460,1,2,3,2
"14461",14461,1,1,1,2
"14462",14462,7,1,2,1
"14463",14463,1,2,5,1
"14464",14464,1,1,2,1
"14465",14465,1,2,4,1
"14466",14466,1,2,4,2
"14467",14467,2,2,4,2
"14468",14468,2,2,1,2
"14469",14469,1,2,5,1
"14470",14470,1,1,1,2
"14471",14471,5,1,3,1
"14472",14472,1,2,5,1
"14473",14473,1,1,2,1
"14474",14474,1,2,3,1
"14475",14475,1,1,4,1
"14476",14476,1,1,1,2
"14477",14477,1,1,1,2
"14478",14478,2,2,2,1
"14479",14479,1,2,6,2
"14480",14480,7,1,1,2
"14481",14481,1,2,4,1
"14482",14482,1,1,5,1
"14483",14483,1,2,6,2
"14484",14484,1,1,6,2
"14485",14485,7,2,2,1
"14486",14486,1,2,4,1
"14487",14487,1,2,2,2
"14488",14488,1,2,4,2
"14489",14489,1,1,1,2
"14490",14490,1,2,1,2
"14491",14491,7,1,2,2
"14492",14492,2,1,1,2
"14493",14493,7,1,1,2
"14494",14494,7,2,1,2
"14495",14495,2,2,1,1
"14496",14496,1,2,1,2
"14497",14497,1,2,3,2
"14498",14498,7,1,2,2
"14499",14499,1,1,6,2
"14500",14500,1,2,5,1
"14501",14501,1,1,2,1
"14502",14502,1,2,1,2
"14503",14503,7,1,4,1
"14504",14504,6,2,1,2
"14505",14505,1,1,2,2
"14506",14506,1,1,4,1
"14507",14507,2,2,1,1
"14508",14508,4,2,2,1
"14509",14509,1,1,4,1
"14510",14510,1,1,3,1
"14511",14511,1,1,5,2
"14512",14512,1,1,5,2
"14513",14513,1,1,1,2
"14514",14514,7,2,2,1
"14515",14515,1,2,4,2
"14516",14516,1,2,5,2
"14517",14517,2,1,1,2
"14518",14518,1,2,4,2
"14519",14519,2,2,1,2
"14520",14520,1,2,5,1
"14521",14521,1,2,1,2
"14522",14522,1,1,2,1
"14523",14523,7,1,1,2
"14524",14524,1,2,1,2
"14525",14525,7,2,2,2
"14526",14526,1,2,2,1
"14527",14527,1,2,4,2
"14528",14528,1,1,5,1
"14529",14529,1,2,5,1
"14530",14530,1,2,1,2
"14531",14531,1,2,2,1
"14532",14532,7,2,2,1
"14533",14533,1,2,5,1
"14534",14534,5,2,3,2
"14535",14535,7,2,1,2
"14536",14536,1,1,2,1
"14537",14537,1,2,6,2
"14538",14538,1,1,4,1
"14539",14539,7,1,1,1
"14540",14540,7,2,2,2
"14541",14541,1,2,5,1
"14542",14542,1,1,3,1
"14543",14543,1,1,2,1
"14544",14544,7,1,4,2
"14545",14545,1,1,1,2
"14546",14546,1,2,5,2
"14547",14547,1,1,2,1
"14548",14548,1,1,4,1
"14549",14549,1,2,6,2
"14550",14550,1,2,1,2
"14551",14551,1,1,3,2
"14552",14552,1,1,2,1
"14553",14553,5,1,4,2
"14554",14554,1,2,3,2
"14555",14555,7,1,3,2
"14556",14556,1,1,2,2
"14557",14557,3,2,1,2
"14558",14558,1,1,4,2
"14559",14559,7,1,1,2
"14560",14560,1,1,2,1
"14561",14561,2,2,4,2
"14562",14562,5,2,5,2
"14563",14563,1,2,1,2
"14564",14564,5,2,4,2
"14565",14565,1,2,2,1
"14566",14566,1,2,2,2
"14567",14567,1,1,1,2
"14568",14568,1,1,1,1
"14569",14569,7,1,2,2
"14570",14570,1,1,3,2
"14571",14571,5,1,1,2
"14572",14572,5,2,5,2
"14573",14573,1,2,4,1
"14574",14574,7,2,3,2
"14575",14575,7,2,6,2
"14576",14576,1,1,4,1
"14577",14577,7,1,4,2
"14578",14578,7,2,1,2
"14579",14579,1,2,4,2
"14580",14580,1,2,1,2
"14581",14581,1,1,6,2
"14582",14582,7,1,2,1
"14583",14583,5,1,3,1
"14584",14584,1,2,6,2
"14585",14585,1,2,2,1
"14586",14586,7,2,2,2
"14587",14587,7,1,1,2
"14588",14588,1,2,2,1
"14589",14589,7,1,1,2
"14590",14590,1,1,4,2
"14591",14591,1,2,4,2
"14592",14592,1,2,6,2
"14593",14593,3,2,2,1
"14594",14594,2,1,4,1
"14595",14595,7,2,1,1
"14596",14596,1,1,2,1
"14597",14597,1,2,3,2
"14598",14598,1,2,6,1
"14599",14599,5,1,2,1
"14600",14600,2,1,1,2
"14601",14601,2,2,1,2
"14602",14602,1,2,4,2
"14603",14603,2,2,1,2
"14604",14604,7,1,3,1
"14605",14605,1,2,1,2
"14606",14606,7,2,2,2
"14607",14607,1,1,1,2
"14608",14608,2,2,1,2
"14609",14609,1,1,3,1
"14610",14610,1,2,3,2
"14611",14611,1,1,2,2
"14612",14612,1,2,5,1
"14613",14613,1,1,4,2
"14614",14614,2,1,4,1
"14615",14615,1,2,5,2
"14616",14616,1,2,2,2
"14617",14617,1,2,5,1
"14618",14618,7,1,2,1
"14619",14619,7,2,2,1
"14620",14620,6,1,1,2
"14621",14621,1,2,4,2
"14622",14622,1,2,5,2
"14623",14623,1,2,4,2
"14624",14624,1,2,1,2
"14625",14625,2,2,2,2
"14626",14626,1,1,5,1
"14627",14627,1,2,5,1
"14628",14628,1,2,2,1
"14629",14629,7,1,1,2
"14630",14630,2,1,1,2
"14631",14631,1,2,2,2
"14632",14632,1,2,1,2
"14633",14633,1,2,3,1
"14634",14634,1,1,4,2
"14635",14635,1,1,1,2
"14636",14636,1,1,2,2
"14637",14637,1,1,3,2
"14638",14638,1,2,4,1
"14639",14639,1,2,4,1
"14640",14640,7,1,5,2
"14641",14641,1,2,4,1
"14642",14642,2,2,5,2
"14643",14643,1,2,2,2
"14644",14644,7,2,3,1
"14645",14645,5,1,1,2
"14646",14646,5,2,3,2
"14647",14647,1,2,2,1
"14648",14648,1,2,6,2
"14649",14649,6,2,2,1
"14650",14650,2,2,5,2
"14651",14651,1,2,3,2
"14652",14652,2,2,3,2
"14653",14653,1,1,5,1
"14654",14654,7,1,2,2
"14655",14655,1,2,2,2
"14656",14656,1,2,1,2
"14657",14657,7,2,3,1
"14658",14658,2,2,4,2
"14659",14659,1,1,4,1
"14660",14660,1,2,4,1
"14661",14661,1,2,4,2
"14662",14662,2,1,1,2
"14663",14663,1,1,4,1
"14664",14664,2,1,1,2
"14665",14665,1,2,3,2
"14666",14666,1,1,4,1
"14667",14667,1,1,3,1
"14668",14668,1,1,5,1
"14669",14669,1,2,4,1
"14670",14670,1,2,5,1
"14671",14671,1,1,1,2
"14672",14672,1,2,5,2
"14673",14673,1,2,5,2
"14674",14674,1,2,1,2
"14675",14675,7,1,3,2
"14676",14676,1,2,3,1
"14677",14677,1,2,5,2
"14678",14678,7,1,3,2
"14679",14679,1,1,2,1
"14680",14680,1,2,2,2
"14681",14681,2,1,2,1
"14682",14682,1,2,1,2
"14683",14683,2,1,1,2
"14684",14684,7,1,2,1
"14685",14685,1,2,4,1
"14686",14686,2,2,4,2
"14687",14687,1,1,1,2
"14688",14688,1,2,4,2
"14689",14689,7,2,3,2
"14690",14690,6,2,4,2
"14691",14691,7,1,1,2
"14692",14692,7,2,1,2
"14693",14693,2,2,1,2
"14694",14694,1,2,2,2
"14695",14695,1,2,2,1
"14696",14696,5,1,3,2
"14697",14697,1,2,5,2
"14698",14698,3,1,5,2
"14699",14699,1,2,6,2
"14700",14700,1,2,1,2
"14701",14701,1,2,6,1
"14702",14702,7,2,2,1
"14703",14703,5,2,4,1
"14704",14704,2,1,4,1
"14705",14705,1,2,1,2
"14706",14706,7,1,5,2
"14707",14707,1,2,2,2
"14708",14708,1,1,2,1
"14709",14709,3,1,4,2
"14710",14710,1,2,5,1
"14711",14711,2,2,3,1
"14712",14712,1,2,4,1
"14713",14713,1,2,4,1
"14714",14714,1,2,1,2
"14715",14715,6,2,3,2
"14716",14716,7,1,5,2
"14717",14717,6,1,1,2
"14718",14718,1,1,1,1
"14719",14719,1,1,2,1
"14720",14720,3,1,3,1
"14721",14721,7,1,2,1
"14722",14722,7,2,2,1
"14723",14723,7,2,2,2
"14724",14724,1,2,4,1
"14725",14725,1,1,1,2
"14726",14726,1,1,1,2
"14727",14727,7,2,2,1
"14728",14728,1,2,4,1
"14729",14729,7,2,2,1
"14730",14730,1,1,5,1
"14731",14731,7,1,1,2
"14732",14732,1,2,5,2
"14733",14733,1,1,5,2
"14734",14734,6,1,1,2
"14735",14735,1,1,4,2
"14736",14736,7,1,2,1
"14737",14737,7,2,2,2
"14738",14738,1,1,4,1
"14739",14739,2,2,1,2
"14740",14740,1,1,3,1
"14741",14741,3,2,5,2
"14742",14742,1,1,1,2
"14743",14743,1,1,5,1
"14744",14744,2,1,1,2
"14745",14745,1,2,3,2
"14746",14746,7,1,3,2
"14747",14747,1,2,3,1
"14748",14748,1,2,6,2
"14749",14749,7,2,4,1
"14750",14750,1,2,1,2
"14751",14751,1,2,4,2
"14752",14752,7,1,4,2
"14753",14753,2,1,6,1
"14754",14754,1,2,2,2
"14755",14755,1,2,1,2
"14756",14756,1,1,1,2
"14757",14757,1,2,3,1
"14758",14758,1,1,2,1
"14759",14759,7,2,4,2
"14760",14760,1,1,2,2
"14761",14761,1,1,4,1
"14762",14762,7,1,2,1
"14763",14763,5,2,2,2
"14764",14764,1,2,6,1
"14765",14765,1,2,1,2
"14766",14766,1,1,1,1
"14767",14767,6,2,3,2
"14768",14768,7,2,3,2
"14769",14769,7,1,2,2
"14770",14770,1,2,4,1
"14771",14771,1,1,2,2
"14772",14772,1,1,2,2
"14773",14773,1,1,3,1
"14774",14774,1,1,1,1
"14775",14775,1,2,1,2
"14776",14776,1,1,1,2
"14777",14777,1,1,4,1
"14778",14778,3,1,6,2
"14779",14779,7,2,3,2
"14780",14780,2,1,2,1
"14781",14781,1,1,1,2
"14782",14782,1,1,1,2
"14783",14783,7,1,1,2
"14784",14784,1,2,6,2
"14785",14785,1,2,4,2
"14786",14786,3,2,2,2
"14787",14787,1,1,4,2
"14788",14788,1,2,3,2
"14789",14789,1,1,3,1
"14790",14790,1,2,2,1
"14791",14791,6,2,2,1
"14792",14792,6,2,2,2
"14793",14793,3,2,4,1
"14794",14794,2,1,5,1
"14795",14795,1,2,2,2
"14796",14796,1,1,4,1
"14797",14797,1,2,1,2
"14798",14798,1,1,4,2
"14799",14799,1,1,1,1
"14800",14800,6,2,2,2
"14801",14801,2,1,2,1
"14802",14802,1,1,4,1
"14803",14803,2,1,1,1
"14804",14804,5,2,3,2
"14805",14805,1,2,2,1
"14806",14806,2,1,5,1
"14807",14807,1,2,2,1
"14808",14808,7,2,2,2
"14809",14809,2,1,6,1
"14810",14810,7,1,2,1
"14811",14811,1,2,6,2
"14812",14812,2,1,4,2
"14813",14813,1,2,1,2
"14814",14814,7,1,2,1
"14815",14815,1,1,2,1
"14816",14816,1,1,3,1
"14817",14817,7,2,4,1
"14818",14818,1,1,5,1
"14819",14819,2,1,1,2
"14820",14820,1,1,1,2
"14821",14821,3,2,3,1
"14822",14822,7,2,2,1
"14823",14823,1,2,2,1
"14824",14824,1,2,1,2
"14825",14825,1,2,1,2
"14826",14826,1,2,5,2
"14827",14827,1,2,6,2
"14828",14828,1,2,6,2
"14829",14829,1,2,4,2
"14830",14830,5,2,2,2
"14831",14831,1,2,4,2
"14832",14832,1,2,4,2
"14833",14833,1,2,1,1
"14834",14834,7,1,4,2
"14835",14835,7,1,4,1
"14836",14836,1,1,1,2
"14837",14837,7,2,3,1
"14838",14838,2,2,4,1
"14839",14839,1,1,4,1
"14840",14840,7,2,1,2
"14841",14841,1,2,4,2
"14842",14842,1,2,2,2
"14843",14843,5,1,6,2
"14844",14844,7,1,5,2
"14845",14845,3,1,1,2
"14846",14846,7,1,2,2
"14847",14847,1,1,4,1
"14848",14848,2,1,4,1
"14849",14849,1,1,1,2
"14850",14850,1,2,2,1
"14851",14851,7,2,2,1
"14852",14852,5,1,5,2
"14853",14853,7,2,1,2
"14854",14854,1,1,2,2
"14855",14855,1,2,5,1
"14856",14856,7,1,4,2
"14857",14857,1,2,4,2
"14858",14858,1,2,1,2
"14859",14859,1,2,4,1
"14860",14860,2,2,1,2
"14861",14861,2,2,5,1
"14862",14862,7,1,3,2
"14863",14863,1,1,3,1
"14864",14864,1,1,4,1
"14865",14865,1,2,1,2
"14866",14866,1,1,3,2
"14867",14867,1,1,1,1
"14868",14868,1,1,4,2
"14869",14869,1,2,6,1
"14870",14870,1,2,4,1
"14871",14871,2,2,2,2
"14872",14872,1,1,5,1
"14873",14873,1,1,4,2
"14874",14874,7,1,4,2
"14875",14875,1,2,4,1
"14876",14876,1,1,3,2
"14877",14877,2,2,1,2
"14878",14878,1,2,4,2
"14879",14879,1,1,3,1
"14880",14880,2,2,2,2
"14881",14881,1,1,1,2
"14882",14882,1,2,4,1
"14883",14883,1,1,2,2
"14884",14884,1,2,5,1
"14885",14885,2,1,1,2
"14886",14886,7,1,2,1
"14887",14887,1,2,5,1
"14888",14888,1,2,4,2
"14889",14889,7,1,1,2
"14890",14890,5,2,3,2
"14891",14891,7,2,5,1
"14892",14892,2,1,1,2
"14893",14893,1,2,2,1
"14894",14894,1,2,6,2
"14895",14895,3,1,5,2
"14896",14896,7,2,4,2
"14897",14897,7,2,1,2
"14898",14898,7,2,1,2
"14899",14899,1,1,4,2
"14900",14900,1,1,5,2
"14901",14901,1,1,4,2
"14902",14902,1,1,5,2
"14903",14903,7,2,1,2
"14904",14904,1,2,5,1
"14905",14905,7,2,2,2
"14906",14906,2,1,4,1
"14907",14907,1,2,2,1
"14908",14908,1,2,1,2
"14909",14909,2,2,1,2
"14910",14910,6,1,1,2
"14911",14911,1,1,2,2
"14912",14912,1,2,4,2
"14913",14913,7,1,5,2
"14914",14914,1,1,1,2
"14915",14915,1,2,5,1
"14916",14916,1,2,5,2
"14917",14917,1,2,1,2
"14918",14918,1,1,4,1
"14919",14919,1,2,4,1
"14920",14920,1,2,6,2
"14921",14921,1,2,6,2
"14922",14922,1,1,2,1
"14923",14923,1,1,4,2
"14924",14924,2,2,3,2
"14925",14925,1,2,2,2
"14926",14926,7,1,2,2
"14927",14927,1,2,1,2
"14928",14928,7,2,3,2
"14929",14929,1,1,2,2
"14930",14930,1,2,4,2
"14931",14931,7,1,2,2
"14932",14932,1,1,1,2
"14933",14933,7,1,4,2
"14934",14934,1,1,1,2
"14935",14935,1,1,1,1
"14936",14936,1,1,1,2
"14937",14937,7,1,2,1
"14938",14938,1,2,1,2
"14939",14939,1,2,2,1
"14940",14940,1,2,3,1
"14941",14941,5,1,2,2
"14942",14942,2,2,2,1
"14943",14943,1,1,4,1
"14944",14944,1,2,3,1
"14945",14945,2,2,5,1
"14946",14946,1,1,3,1
"14947",14947,1,1,5,1
"14948",14948,5,2,3,2
"14949",14949,1,1,4,1
"14950",14950,1,2,6,2
"14951",14951,7,2,1,2
"14952",14952,1,1,4,2
"14953",14953,1,1,2,1
"14954",14954,2,1,2,2
"14955",14955,7,2,3,2
"14956",14956,7,2,4,2
"14957",14957,1,2,4,2
"14958",14958,3,2,4,2
"14959",14959,6,2,4,1
"14960",14960,7,1,4,2
"14961",14961,1,1,3,2
"14962",14962,2,1,6,1
"14963",14963,7,2,2,1
"14964",14964,1,2,1,1
"14965",14965,1,1,3,2
"14966",14966,1,1,2,1
"14967",14967,7,1,2,1
"14968",14968,2,2,1,2
"14969",14969,3,2,2,1
"14970",14970,2,1,2,1
"14971",14971,7,2,4,1
"14972",14972,1,2,1,2
"14973",14973,1,2,4,2
"14974",14974,7,2,1,2
"14975",14975,1,1,4,1
"14976",14976,1,1,4,1
"14977",14977,1,2,5,2
"14978",14978,1,2,1,2
"14979",14979,7,2,2,1
"14980",14980,7,1,4,2
"14981",14981,2,2,4,2
"14982",14982,1,2,5,2
"14983",14983,1,1,5,1
"14984",14984,6,2,2,1
"14985",14985,1,2,3,1
"14986",14986,1,2,3,1
"14987",14987,1,2,5,1
"14988",14988,1,1,4,2
"14989",14989,5,2,3,2
"14990",14990,1,1,3,1
"14991",14991,1,2,2,1
"14992",14992,1,1,6,2
"14993",14993,5,1,5,2
"14994",14994,1,1,4,1
"14995",14995,1,2,1,1
"14996",14996,5,1,1,2
"14997",14997,1,1,1,2
"14998",14998,2,1,1,2
"14999",14999,7,2,1,2
"15000",15000,1,1,2,1
"15001",15001,2,1,1,2
"15002",15002,1,2,4,2
"15003",15003,1,2,2,1
"15004",15004,6,1,1,2
"15005",15005,1,2,3,1
"15006",15006,1,2,3,1
"15007",15007,2,2,2,2
"15008",15008,2,2,1,1
"15009",15009,1,2,6,2
"15010",15010,1,1,2,1
"15011",15011,7,1,4,2
"15012",15012,1,1,2,1
"15013",15013,1,1,1,1
"15014",15014,7,1,4,2
"15015",15015,1,1,1,2
"15016",15016,1,1,2,1
"15017",15017,5,1,1,2
"15018",15018,2,1,6,1
"15019",15019,1,1,2,1
"15020",15020,1,2,2,1
"15021",15021,1,2,1,2
"15022",15022,2,2,2,2
"15023",15023,2,1,1,2
"15024",15024,1,1,6,2
"15025",15025,1,2,5,1
"15026",15026,7,1,1,2
"15027",15027,1,1,2,1
"15028",15028,1,2,1,2
"15029",15029,1,1,3,1
"15030",15030,1,1,1,2
"15031",15031,2,2,2,1
"15032",15032,1,2,5,1
"15033",15033,1,2,2,1
"15034",15034,1,2,2,1
"15035",15035,7,1,4,2
"15036",15036,1,2,1,1
"15037",15037,2,1,2,1
"15038",15038,1,2,1,1
"15039",15039,7,1,1,1
"15040",15040,1,2,3,1
"15041",15041,1,1,3,1
"15042",15042,2,1,2,1
"15043",15043,1,2,1,2
"15044",15044,1,1,4,1
"15045",15045,7,1,6,2
"15046",15046,7,2,1,2
"15047",15047,1,1,2,1
"15048",15048,3,2,1,1
"15049",15049,6,2,3,1
"15050",15050,1,2,4,2
"15051",15051,1,2,2,1
"15052",15052,1,1,5,2
"15053",15053,1,1,2,2
"15054",15054,2,1,6,1
"15055",15055,2,2,4,1
"15056",15056,2,1,5,1
"15057",15057,7,2,1,1
"15058",15058,7,2,1,1
"15059",15059,1,2,4,1
"15060",15060,7,1,2,2
"15061",15061,2,2,4,1
"15062",15062,7,2,3,1
"15063",15063,1,1,1,2
"15064",15064,2,1,2,1
"15065",15065,7,1,1,2
"15066",15066,1,2,5,2
"15067",15067,5,1,1,2
"15068",15068,1,1,2,2
"15069",15069,1,2,1,1
"15070",15070,1,1,5,1
"15071",15071,1,1,1,1
"15072",15072,1,1,1,1
"15073",15073,7,1,2,2
"15074",15074,1,2,3,2
"15075",15075,1,2,2,1
"15076",15076,1,2,5,2
"15077",15077,7,2,2,1
"15078",15078,1,1,1,2
"15079",15079,7,2,1,2
"15080",15080,2,2,2,2
"15081",15081,7,2,1,2
"15082",15082,1,2,4,1
"15083",15083,7,2,2,2
"15084",15084,1,2,1,2
"15085",15085,7,2,2,2
"15086",15086,7,1,1,2
"15087",15087,1,2,2,2
"15088",15088,7,2,1,2
"15089",15089,7,2,2,2
"15090",15090,1,1,1,2
"15091",15091,1,1,4,1
"15092",15092,2,1,3,1
"15093",15093,1,1,2,2
"15094",15094,7,2,4,2
"15095",15095,5,2,2,2
"15096",15096,2,1,1,2
"15097",15097,1,1,2,1
"15098",15098,7,1,4,1
"15099",15099,6,1,2,1
"15100",15100,1,1,2,1
"15101",15101,5,1,2,2
"15102",15102,7,1,3,1
"15103",15103,1,2,2,2
"15104",15104,1,2,2,1
"15105",15105,1,1,1,1
"15106",15106,1,2,5,1
"15107",15107,1,2,1,2
"15108",15108,1,2,4,2
"15109",15109,1,1,3,1
"15110",15110,6,1,1,2
"15111",15111,1,1,1,2
"15112",15112,2,1,2,2
"15113",15113,1,1,1,2
"15114",15114,1,1,1,2
"15115",15115,1,1,4,1
"15116",15116,1,1,2,1
"15117",15117,1,2,1,2
"15118",15118,1,1,5,1
"15119",15119,7,2,2,2
"15120",15120,1,2,2,2
"15121",15121,1,2,1,1
"15122",15122,5,2,1,2
"15123",15123,2,1,3,1
"15124",15124,1,1,1,1
"15125",15125,1,2,6,2
"15126",15126,4,2,2,1
"15127",15127,4,1,4,2
"15128",15128,1,2,5,1
"15129",15129,1,1,3,1
"15130",15130,1,1,4,2
"15131",15131,4,1,2,1
"15132",15132,1,2,5,2
"15133",15133,5,1,6,1
"15134",15134,7,1,2,2
"15135",15135,2,2,1,1
"15136",15136,1,1,2,1
"15137",15137,3,1,1,2
"15138",15138,7,1,4,2
"15139",15139,1,1,1,2
"15140",15140,1,1,3,1
"15141",15141,1,2,4,1
"15142",15142,1,1,3,1
"15143",15143,6,2,1,2
"15144",15144,1,2,1,1
"15145",15145,1,1,2,2
