"","CASEID","NEWRACE2","IRSEX","CATAG6","MJEVER"
"244",244,6,2,2,2
"245",245,7,1,1,1
"246",246,1,2,5,1
"247",247,1,1,3,1
"248",248,1,1,3,1
"249",249,1,1,2,2
"250",250,7,2,4,1
"251",251,7,1,1,2
"252",252,1,1,2,1
"253",253,7,2,1,2
"254",254,1,1,2,2
"255",255,7,1,1,2
"256",256,1,1,4,1
"257",257,1,2,4,1
"258",258,3,2,4,1
"259",259,2,2,2,1
"260",260,2,2,2,1
"261",261,2,2,6,2
"262",262,1,1,1,2
"263",263,1,2,6,2
"264",264,2,2,5,2
"265",265,1,1,2,2
"266",266,1,2,4,1
"267",267,7,2,3,2
"268",268,1,2,5,1
"269",269,4,2,3,2
"270",270,1,1,1,2
"271",271,5,1,5,2
"272",272,2,2,5,2
"273",273,1,1,2,1
"274",274,2,1,3,2
"275",275,1,1,5,1
"276",276,5,2,3,2
"277",277,1,2,2,1
"278",278,2,2,2,2
"279",279,1,2,2,1
"280",280,5,1,6,2
"281",281,1,1,3,2
"282",282,1,1,3,1
"283",283,1,2,3,1
"284",284,1,2,2,1
"285",285,1,2,1,2
"286",286,2,1,2,1
"287",287,1,1,1,2
"288",288,2,1,3,1
"289",289,6,2,2,2
"290",290,2,2,3,2
"291",291,5,2,4,1
"292",292,7,2,1,2
"293",293,1,1,1,2
"294",294,1,2,1,2
"295",295,7,2,2,2
"296",296,1,2,2,2
"297",297,1,2,4,2
"298",298,2,2,2,2
"299",299,1,2,1,2
"300",300,1,1,5,1
"301",301,7,2,5,1
"302",302,5,2,4,2
"303",303,1,1,4,2
"304",304,1,1,2,1
"305",305,2,1,3,2
"306",306,2,2,1,2
"307",307,1,2,3,2
"308",308,1,2,1,1
"309",309,1,1,3,1
"310",310,3,1,3,2
"311",311,1,2,2,1
"312",312,1,2,3,2
"313",313,1,2,3,1
"314",314,1,1,2,2
"315",315,1,1,1,2
"316",316,1,2,2,1
"317",317,1,1,2,2
"318",318,1,1,6,1
"319",319,1,2,1,2
"320",320,1,2,4,1
"321",321,1,1,2,2
"322",322,7,2,1,1
"323",323,1,2,3,1
"324",324,1,1,2,2
"325",325,2,2,3,2
"326",326,1,1,2,2
"327",327,2,2,1,2
"328",328,7,2,2,1
"329",329,1,2,4,1
"330",330,1,2,3,1
"331",331,1,1,6,2
"332",332,5,1,3,1
"333",333,1,1,2,2
"334",334,5,1,2,1
"335",335,1,2,2,1
"336",336,2,2,3,1
"337",337,1,2,1,2
"338",338,1,2,3,1
"339",339,6,1,1,2
"340",340,2,1,1,2
"341",341,1,2,4,2
"342",342,1,1,6,1
"343",343,5,1,5,2
"344",344,1,2,4,1
"345",345,1,1,1,2
"346",346,2,1,3,2
"347",347,1,1,1,2
"348",348,7,2,3,2
"349",349,1,1,1,2
"350",350,1,1,5,2
"351",351,1,1,1,2
"352",352,1,2,2,2
"353",353,1,1,4,2
"354",354,1,2,1,2
"355",355,1,2,6,2
"356",356,7,1,2,1
"357",357,7,2,4,2
"358",358,7,2,5,1
"359",359,1,1,1,2
"360",360,7,1,2,2
"361",361,7,1,3,2
"362",362,7,2,2,2
"363",363,5,2,1,2
"364",364,1,1,1,2
"365",365,1,1,1,2
"366",366,7,1,2,2
"367",367,1,1,3,1
"368",368,1,1,5,2
"369",369,5,1,1,1
"370",370,1,1,5,1
"371",371,1,1,2,1
"372",372,1,1,5,2
"373",373,1,2,3,1
"374",374,1,2,2,1
"375",375,2,1,3,2
"376",376,1,1,4,2
"377",377,7,2,4,2
"378",378,1,1,4,1
"379",379,4,2,4,1
"380",380,2,2,1,2
"381",381,1,1,4,1
"382",382,1,1,1,2
"383",383,1,2,3,1
"384",384,7,2,4,1
