"","IRSEX","Freq.x","Usage","Freq.y","percentage"
"1","Female",53669745.0242614,1,136582926.084958,39.2946223680093
"2","Male",63581945.6862175,1,128320268.158127,49.549417717758
"3","Female",82913181.0606963,2,136582926.084958,60.7053776319907
"4","Male",64738322.4719095,2,128320268.158127,50.450582282242
