"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","y"
"nervous",2.6,5.6,22.3,38.2,31.4,2306245.38099734,5288731.55615106,22776894.3938422,42573587.1591804,39789577.6855156,537,1170,4689,8034,6594,"During the past 30 days,<br> how often did you feel nervous?"
"hopeless",1.8,3.4,11.4,20.9,62.5,1689784.03558139,3195150.66107706,10862258.770105,21637020.189126,75390653.0223456,373,724,2405,4391,13138,"During the past 30 days,<br> how often did you feel hopeless?"
"restless",2.5,5.7,20.6,31.3,39.9,2391170.68267663,5044024.32057573,20409631.2261186,35788840.6718668,49098224.008132,531,1201,4325,6574,8388,"During the past 30 days,<br> how often did you feel restless?"
