"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","y"
"nervous",1.7,3.6,17.1,36.1,41.5,1946262.57089893,3594668.01066596,18800889.2612403,43627324.323807,58056399.1939363,350,738,3476,7358,8461,"During the past 30 days,<br> how often did you feel nervous?"
"hopeless",1.3,2.1,7.6,17.1,72,1359703.1971734,2123455.72635775,8071111.88533924,19451063.5823085,94871239.9400911,263,419,1539,3474,14668,"During the past 30 days,<br> how often did you feel hopeless?"
"restless",1.6,3.1,13.5,27.1,54.6,1601365.44821914,2991195.81525942,14607320.5016579,34371422.2961083,72158254.7949704,327,636,2747,5517,11109,"During the past 30 days,<br> how often did you feel restless?"
