"","options","x1","x2","x3","x4","x5","x6","X1.natcount","X2.natcount","X3.natcount","X4.natcount","X5.natcount","X6.natcount"
"1","Past 30 days",7.96,30.82,21.32,20.53,16.5,2.86,1761172.56069592,6818935.52136252,4717446.92673051,4541394.66363037,3650391.07544202,633003.4158765
"2",">30days, but in past 12mos",10.79,33.13,22.52,16.4,15.03,2.15,1413269.11206607,4338790.06583835,2949186.5838739,2147813.60257018,1968055.54313113,281102.583417792
"3",">12 months",0.89,8.96,16.4,28.84,33.97,10.95,728409.909156257,7307622.05327312,13381902.3325385,23524098.3641602,27710057.8349964,8929586.75201989
"4","Some point in lifetime",41.48,27.58,4.53,6.98,12.96,6.47,186440.491088619,123955.332911908,20373.904108087,31380.850405339,58233.329485833,29067.901699572
