"","options","x1","x2","x3","x4","x5","x6","x7","X1.natcount","X2.natcount","X3.natcount","X4.natcount","X5.natcount","X6.natcount","X7.natcount"
"1","Past 30 days",67.22,14.89,0.76,"0.55",1.6,2.53,12.45,14871403.6345715,3293162.08097751,168275.085252496,"121344.8733544",354689.57715444,559389.440408843,2754079.4720187
"2",">30days, but in past 12mos",66.17,13.43,0.72,"0.28",2.53,2.36,14.52,8666666.1969737,1758599.25577014,94182.726654838,"36943.705995329",330779.115924583,309430.730842563,1901615.75873627
"3",">12 months",73.88,10.14,0.6,"0.43",2.16,1.86,10.93,60269618.3570064,8272702.27659795,487191.181007808,"352620.573626324",1763403.80578892,1516346.0960909,8919794.95602598
"4","Some point in lifetime",37.82,26.54,2.97,"0",2.13,4.78,25.76,169979.70767603,119273.497537187,13362.439479508,"0",9579.261816949,21478.743792918,115778.159396766
